Faction,Word,Word Frequency per Faction,Mean of all Word Frequencies,Standard Deviation of all Word Frequencies,Is a word more or less used?,
BÜNDNIS 90/DIE GRÜNEN,Verfügung,0.00018734911705,0.000223982172746,2.86677006163e-05,less,
BÜNDNIS 90/DIE GRÜNEN,rufen,0.000147202877682,0.000172477478607,1.76024600815e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Bildung,0.000596840758603,0.00069426251084,7.44175081681e-05,less,
BÜNDNIS 90/DIE GRÜNEN,insgesamt,0.000142742184419,0.000184069200672,3.16527890583e-05,less,
BÜNDNIS 90/DIE GRÜNEN,ord,0.00392273365557,0.00412389517911,0.000128313410869,less,
BÜNDNIS 90/DIE GRÜNEN,Familie,0.000297974309975,0.000403173648969,5.87025170612e-05,less,
BÜNDNIS 90/DIE GRÜNEN,diejenigen,0.000138281491156,0.000197173629702,3.90500628165e-05,less,
BÜNDNIS 90/DIE GRÜNEN,beispielsweise,0.000185564839745,0.000229109525893,4.21817702356e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Art,0.000372913956796,0.000347264898502,2.42701732106e-05,more,
BÜNDNIS 90/DIE GRÜNEN,erinnern,0.000105272361009,0.000144084429732,2.75287235274e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Sicht,0.000216789692587,0.000269419754367,2.90607978903e-05,less,
BÜNDNIS 90/DIE GRÜNEN,verehrt,7.85082014306e-05,0.000169700642264,8.90392754104e-05,less,
BÜNDNIS 90/DIE GRÜNEN,stärken,0.000131144381935,0.000169125008314,3.33675758899e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Leben,0.000521901111783,0.000636824644231,8.62079027352e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Energie,0.00113301608883,0.000831593613474,0.000170174224951,more,
BÜNDNIS 90/DIE GRÜNEN,zunächst,9.72431131357e-05,0.00014214263398,4.01521804121e-05,less,
BÜNDNIS 90/DIE GRÜNEN,zustimmen,0.000247122406776,0.000195919885757,4.44232558983e-05,more,
BÜNDNIS 90/DIE GRÜNEN,recht,0.00342759670337,0.0029844949928,0.000326760176939,more,
BÜNDNIS 90/DIE GRÜNEN,ändern,0.000711926644791,0.000803826814827,5.27823052147e-05,less,
BÜNDNIS 90/DIE GRÜNEN,passieren,7.22632308623e-05,5.73748886575e-05,1.15183906296e-05,more,
BÜNDNIS 90/DIE GRÜNEN,angesichts,0.000199839058187,0.000138494109407,3.39922752736e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Hilfe,0.000159692818819,0.000211907732151,3.70165556694e-05,less,
BÜNDNIS 90/DIE GRÜNEN,gesamt,0.000403246670985,0.000460232646144,4.89962820608e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Stunde,0.000127575827325,0.000171927016511,2.46115947313e-05,less,
BÜNDNIS 90/DIE GRÜNEN,schließen,0.000318493498986,0.000372179226014,3.33208344459e-05,less,
BÜNDNIS 90/DIE GRÜNEN,fahren,0.000908197148368,0.000809234759052,6.63980772442e-05,more,
BÜNDNIS 90/DIE GRÜNEN,schwer,0.0004255501373,0.000375752879897,2.98330996761e-05,more,
BÜNDNIS 90/DIE GRÜNEN,erstens,4.4606932631e-05,6.00222425469e-05,1.09740442814e-05,less,
BÜNDNIS 90/DIE GRÜNEN,zweitens,3.65776847575e-05,4.58605912619e-05,5.81000039796e-06,less,
BÜNDNIS 90/DIE GRÜNEN,vergangen,0.000126683688672,0.000181602593622,4.33443439718e-05,less,
BÜNDNIS 90/DIE GRÜNEN,finanziell,0.00016682992804,0.000199919151027,3.05565280108e-05,less,
BÜNDNIS 90/DIE GRÜNEN,genauso,0.000133820797893,0.000169312217952,3.08121518641e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Nachfrage,0.00012579155002,8.41868128936e-05,2.94241758779e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Umsetzung,0.000269425873091,0.00023541701007,2.25546677342e-05,more,
BÜNDNIS 90/DIE GRÜNEN,vorliegend,0.000159692818819,0.000225416210627,4.22856365842e-05,less,
BÜNDNIS 90/DIE GRÜNEN,erleben,9.81352517883e-05,0.000130593340132,2.62795747952e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Berlin,0.000179319869177,0.000245191808194,5.95754181977e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Richtung,0.000213221137976,0.000194629470757,1.78886877152e-05,more,
BÜNDNIS 90/DIE GRÜNEN,bereit,0.000771699934517,0.000942063577959,0.000143545699812,less,
BÜNDNIS 90/DIE GRÜNEN,Anfang,0.000156124264209,0.000168012758414,1.08078484965e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Leistung,0.000281023675576,0.00037133298967,7.54162745998e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Schutz,0.00035061049048,0.000300092755724,3.31269739107e-05,more,
BÜNDNIS 90/DIE GRÜNEN,spielen,0.00012579155002,0.000132329249298,5.52801178025e-06,less,
BÜNDNIS 90/DIE GRÜNEN,Arbeitsmarkt,0.000161477096124,0.000248224663851,6.4562193549e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Höhe,0.00016326137343,0.000217240796675,3.50101014163e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Übrige,0.000101703806399,0.000170712127195,3.83208986505e-05,less,
BÜNDNIS 90/DIE GRÜNEN,folgen,0.000293513616712,0.000350806930928,3.91841306463e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Arbeitnehmer,0.000162369234777,0.000357687089691,9.88345840556e-05,less,
BÜNDNIS 90/DIE GRÜNEN,zentral,0.000306003557849,0.000260806176177,2.27083471454e-05,more,
BÜNDNIS 90/DIE GRÜNEN,ernst,0.000383619620627,0.000327357245871,3.75284239981e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Bezug,0.000173074898608,0.000159086188143,1.38150155007e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Änderung,0.000281915814228,0.000265711010565,1.28070545735e-05,more,
BÜNDNIS 90/DIE GRÜNEN,früh,0.000174859175914,0.000257196362452,6.69446500012e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Drucksache,3.3009130147e-05,2.14612002894e-05,5.95249248875e-06,more,
